state,county,2015,2016,2017,2018,fips
Colorado,Fremont,1248334,1269874,1295616,1325142,
Colorado,Garfield,4230409,4246153,4301192,4243642,
Colorado,Gilpin,505564,503282,552434,525142,
Colorado,Grand,653776,661941,685071,714703,
Colorado,Gunnison,923743,943497,1012690,1028922,
Colorado,Hinsdale,48200,47982,52284,52699,
Colorado,Huerfano,233778,246665,271378,273895,
Colorado,Jackson,89185,93650,98742,118656,
Colorado,Jefferson,26075796,27600781,28434307,29445620,
Colorado,Kiowa,84548,83008,90628,73798,
Colorado,Kit Carson,318197,325292,331713,391520,
Colorado,Lake,277307,266524,296883,309433,
Colorado,La Plata,3499160,3674622,3650188,3515882,
Colorado,Larimer,14784676,15358832,16121584,16793330,
Colorado,Las Animas,718839,736109,723964,711460,
Colorado,Lincoln,363542,374098,396871,391910,
Colorado,Logan,1217271,1235667,1090097,1061679,
Colorado,Mesa,5757436,5695220,5970021,6253144,
Colorado,Mineral,70751,68993,73103,77089,
Colorado,Moffat,1042946,1045120,1026134,987890,
Colorado,Montezuma,1808550,1888742,2024058,1799102,
Colorado,Montrose,1301522,1314618,1359203,1413627,
Colorado,Morgan,1527903,1494827,1559780,1592344,
Colorado,Otero,597938,580665,579125,594219,
Colorado,Ouray,214088,193107,196871,200510,
Colorado,Park,349626,364585,383734,400803,
Colorado,Phillips,198867,217901,202394,213315,
Colorado,Pitkin,1810200,1864163,1871595,1900883,
Colorado,Prowers,562738,593064,541959,585362,
Colorado,Pueblo,5633254,5793524,5936817,6084945,
Colorado,Rio Blanco,816272,762354,754490,736488,
Colorado,Rio Grande,435710,439984,424683,435646,
Colorado,Routt,1606787,1596244,1648606,1676236,
Colorado,Saguache,183987,178250,166002,170660,
Colorado,San Juan,49355,41257,44580,44681,
Colorado,San Miguel,612657,607530,607756,630972,
Colorado,Sedgwick,131811,141744,124544,122461,
Colorado,Summit,1954242,1997326,2100690,2144107,
Colorado,Teller,832946,821374,880866,858144,
Colorado,Washington,219055,228338,199232,240624,
Colorado,Weld,17290520,17607226,18767550,20531235,
Colorado,Yuma,817648,861732,781972,673264,
Connecticut,,242910718,242793869,243682541,244925749,
Connecticut,Fairfield,78667116,77878283,77609152,77951236,
Connecticut,Hartford,75812380,75841426,76345801,75991079,
Connecticut,Litchfield,7567652,7532359,7470812,7688830,
Connecticut,Middlesex,8782362,8647334,8761274,8706342,
Connecticut,New Haven,46417757,47057608,47266161,48060270,
Connecticut,New London,16467459,16657031,16914681,17084801,
Connecticut,Tolland,4679576,4694375,4770557,4835245,
Connecticut,Windham,4553895,4537403,4606323,4661614,
Delaware,,65876064,63108730,62740077,62764748,
Delaware,Kent,6585361,6654062,6621713,6700040,
Delaware,New Castle,44546988,42600438,42708813,42517640,
Delaware,Sussex,14766561,13877300,13422305,13568583,
District of Columbia,District of Columbia,117238433,119567337,121011225,123981627,
Florida,,839124321,866730997,896117037,924873329,
Florida,Alachua,11487691,11755588,12031399,12447381,
Florida,Baker,547809,562229,575846,595832,
Florida,Bay,7264429,7348864,7463278,7606775,
Florida,Bradford,599779,608141,637196,659865,
Florida,Brevard,20787350,21514903,22465459,23437467,
Florida,Broward,88623704,91380503,94231492,96874849,
Florida,Calhoun,240507,238916,239671,250104,
Florida,Charlotte,4252418,4409773,4518513,4670656,
Florida,Citrus,3374867,3395172,3414707,3511018,
Florida,Clay,4049461,4230998,4334718,4508532,
Florida,Collier,14272513,14926141,15140542,15760299,
Florida,Columbia,2084675,2043138,2078805,2117963,
Florida,DeSoto,828679,832295,897169,828489,
Florida,Dixie,259180,264745,270743,274765,
Florida,Duval,53307586,54932423,57588045,59046312,
Florida,Escambia,13292392,13455692,13747958,14133569,
Florida,Flagler,1925200,2036334,2106231,2159015,
Florida,Franklin,326714,326130,331884,339243,
Florida,Gadsden,1111638,1152756,1186133,1210807,
Florida,Gilchrist,345889,362490,370035,384761,
Florida,Glades,255344,253267,266604,270066,
Florida,Gulf,362027,364695,376332,377644,
Florida,Hamilton,386469,370897,378169,392338,
Florida,Hardee,1070287,1213281,1178699,1113218,
Florida,Hendry,1167900,1253739,1246870,1216050,
Florida,Hernando,3390553,3495017,3647475,3817718,
Florida,Highlands,2429784,2526899,2547217,2538660,
Florida,Hillsborough,73150526,75304750,77317574,79951440,
Florida,Holmes,325138,317913,334989,323671,
Florida,Indian River,4864424,5047825,5130162,5346831,
Florida,Jackson,1135401,1154854,1161800,1199023,
Florida,Jefferson,301383,305566,307620,302750,
Florida,Lafayette,238600,199505,205689,209052,
Florida,Lake,7452335,7706726,7927962,8284194,
Florida,Lee,24022905,25401906,26207287,27046186,
Florida,Leon,12986116,13337263,13747492,14165147,
Florida,Levy,955314,1078963,1217429,1102272,
Florida,Liberty,173347,174480,176209,182111,
Florida,Madison,498633,475043,476908,489921,
Florida,Manatee,11560828,11902949,12152004,12599063,
Florida,Marion,8259823,8846178,8922757,9237866,
Florida,Martin,6608423,6603563,6723319,6946903,
Florida,Miami-Dade,131624991,136396875,141349544,145882828,
Florida,Monroe,4014404,4094692,4186956,4255911,
Florida,Nassau,2017786,2035963,2134955,2213296,
Florida,Okaloosa,9612196,9792508,10183734,10515093,
Florida,Okeechobee,1202583,1154890,1274588,1151613,
Florida,Orange,77882979,81146561,84359305,87741273,
Florida,Osceola,7709041,7896106,8143986,8374889,
Florida,Palm Beach,65902060,67751333,70558459,72270528,
Florida,Pasco,10230816,10582469,10903869,11238393,
Florida,Pinellas,43023746,44233572,45158454,46894199,
Florida,Polk,20462688,20928287,21816610,22483500,
Florida,Putnam,1978369,1972144,1987327,2009787,
Florida,Santa Rosa,3492523,3652174,3684821,3836306,
Florida,Sarasota,15905329,16423322,17014502,17814560,
Florida,Seminole,17035220,17812364,18819518,19779928,
Florida,St. Johns,6265006,6634305,7027715,7357931,
Florida,St. Lucie,7553019,7824890,8119970,8311311,
Florida,Sumter,2169972,2280124,2397299,2484841,
Florida,Suwannee,1144054,1039424,1060121,1090123,
Florida,Taylor,897393,841275,859687,856461,
Florida,Union,295420,301177,306038,299208,
Florida,Volusia,14882560,15475305,15985757,16446375,
Florida,Wakulla,581765,566868,594611,606163,
Florida,Walton,2214261,2317833,2436144,2511146,
Florida,Washington,462189,470907,476861,491690,
Georgia,,481575663,498266779,516593859,528998898,
